MJD,V-mag,SE,air.mass
58255.27362,11.7769,0.0022,2.049
58255.27410,11.7897,0.0021,2.041
58255.27457,11.7890,0.0021,2.034
58255.27505,11.7832,0.0020,2.027
58255.28227,11.7758,0.0019,1.922
58255.28274,11.7791,0.0019,1.915
58255.28322,11.7819,0.0018,1.909
58255.28370,11.7874,0.0017,1.902
58255.29094,11.7820,0.0016,1.811
58255.29141,11.7783,0.0016,1.805
58255.29189,11.7856,0.0016,1.799
58255.29236,11.7830,0.0015,1.794
58255.29955,11.7915,0.0015,1.714
58255.30002,11.7779,0.0016,1.709
58255.30050,11.7847,0.0016,1.704
58255.30098,11.7797,0.0017,1.699
58255.30821,11.7818,0.0018,1.628
58255.30868,11.7766,0.0018,1.624
58255.30916,11.7837,0.0019,1.620
58255.30963,11.7856,0.0019,1.615
58255.31683,11.7912,0.0019,1.553
58255.31730,11.7711,0.0019,1.549
58255.31777,11.7819,0.0019,1.545
58255.31824,11.7795,0.0018,1.541
58255.32544,11.7835,0.0017,1.486
58255.32591,11.7881,0.0016,1.483
58255.32639,11.7827,0.0016,1.479
58255.32686,11.7837,0.0015,1.476
58255.33410,11.7841,0.0015,1.426
58255.33457,11.7802,0.0014,1.423
58255.33505,11.7887,0.0014,1.420
58255.33552,11.7950,0.0014,1.417
58255.34273,11.7887,0.0014,1.373
58255.34321,11.7840,0.0013,1.370
58255.34368,11.7789,0.0013,1.368
58255.34416,11.7860,0.0013,1.365
58255.35133,11.7819,0.0012,1.326
58255.35181,11.7841,0.0012,1.324
58255.35228,11.7828,0.0011,1.321
58255.35275,11.7860,0.0012,1.319
58255.35999,11.7869,0.0012,1.283
58255.36046,11.7868,0.0013,1.281
58255.36094,11.7828,0.0014,1.279
58255.36142,11.7894,0.0015,1.277
58255.36866,11.7867,0.0016,1.245
58255.36913,11.7830,0.0017,1.244
58255.36961,11.7807,0.0018,1.242
58255.37008,11.7822,0.0019,1.240
58255.37730,11.7772,0.0020,1.212
58255.37778,11.7835,0.0020,1.210
58255.37826,11.7841,0.0021,1.208
58255.37873,11.7829,0.0021,1.206
58255.38595,11.7870,0.0020,1.182
58255.38642,11.7861,0.0020,1.180
58255.38691,11.7820,0.0019,1.178
58255.38738,11.7863,0.0018,1.177
58255.39458,11.7804,0.0018,1.155
58255.39506,11.7896,0.0017,1.153
58255.39553,11.7844,0.0016,1.152
58255.39601,11.7838,0.0015,1.151
58255.40324,11.7838,0.0014,1.131
58255.40372,11.7797,0.0014,1.130
58255.40420,11.7831,0.0014,1.129
58255.40468,11.7873,0.0014,1.127
58255.41188,11.7757,0.0015,1.110
58255.41235,11.7880,0.0015,1.109
58255.41284,11.7831,0.0016,1.108
58255.41331,11.7732,0.0017,1.107
58255.42058,11.7863,0.0018,1.092
58255.42105,11.7762,0.0019,1.091
58255.42153,11.7818,0.0020,1.090
58255.42201,11.7810,0.0020,1.089
58255.42922,11.7761,0.0021,1.076
58255.42971,11.7917,0.0022,1.075
58255.43017,11.7879,0.0023,1.075
58255.43065,11.7922,0.0023,1.074
58255.43786,11.7877,0.0023,1.063
58255.43834,11.7845,0.0023,1.062
58255.43881,11.7853,0.0022,1.062
58255.43928,11.7897,0.0021,1.061
58255.44649,11.7838,0.0021,1.052
58255.44697,11.7833,0.0020,1.051
58255.44744,11.7799,0.0018,1.051
58255.44792,11.7895,0.0017,1.050
58255.45514,11.7811,0.0016,1.043
58255.45561,11.7894,0.0016,1.042
58255.45609,11.7787,0.0016,1.042
58255.45656,11.7810,0.0017,1.041
58255.46375,11.7805,0.0018,1.036
58255.46422,11.7875,0.0019,1.035
58255.46470,11.7819,0.0019,1.035
58255.46517,11.7856,0.0020,1.035
58255.47237,11.7845,0.0021,1.031
58255.47286,11.7799,0.0021,1.030
58255.47332,11.7747,0.0021,1.030
58255.47381,11.7807,0.0020,1.030
58255.48102,11.7844,0.0019,1.028
